Start,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-8.0,-7.6914755999999995,-7.3850198,-7.0824864,-6.7861185,-6.498632,-6.223114,-5.962595300000001,-5.719333300000001,-5.4943302,-5.2872414999999995,-5.096732500000001,-4.921194699999999,-4.7592806,-4.6082784,-4.460706700000001,-4.3106615,-4.1571245999999995,-3.9993106000000003,-3.8366735000000007,-3.6689952,-3.4966720000000002,-3.3215159999999995,-3.1492897999999996,-3.0
-8.0,-7.6881463,-7.3780095,-7.071205,-6.769918499999999,-6.477164999999999,-6.196857,-5.9332536000000005,-5.6894403,-5.4665364,-5.263542999999999,-5.077898,-4.9070307,-4.7491087,-4.6012813,-4.456114000000001,-4.307824800000001,-4.1555287,-3.998560500000001,-3.836470500000001,-3.6691161,-3.496945,-3.3218094999999996,-3.1494934999999997,-3.0
-8.0,-7.6835134,-7.3681297,-7.054967,-6.74592,-6.444278999999999,-6.155379,-5.886254000000001,-5.6415907,-5.4227355,-5.2274175,-5.0502533000000005,-4.8869825,-4.7351893,-4.5920216,-4.450264400000001,-4.304398000000001,-4.153776,-3.9979210000000007,-3.8365295,-3.6695645,-3.4975477,-3.3223807999999995,-3.1498718,-3.0
-8.0,-7.678119,-7.3564095,-7.035075,-6.715141999999999,-6.399595999999999,-6.095630700000001,-5.817109,-5.571255300000001,-5.359822,-5.1786395,-5.015242000000001,-4.86301,-4.7194007,-4.582079,-4.444402999999999,-4.301334000000001,-4.1525785,-3.9979216000000006,-3.8372405,-3.6706257,-3.4986840000000003,-3.3233677999999998,-3.1505003000000005,-3.0
-8.0,-7.6728184,-7.3445985,-7.0141194,-6.6804533,-6.344150299999999,-6.012048000000001,-5.7180100000000005,-5.470536,-5.2720626,-5.118557,-4.976445,-4.838653,-4.704616,-4.573623700000001,-4.4401287,-4.2997924,-4.152779,-3.9991720000000006,-3.8390455,-3.6726194,-3.5005817,-3.3249232999999996,-3.1514630999999995,-3.0
-8.0,-7.668753,-7.3352395,-6.996557,-6.648688,-6.285117,-5.892402700000001,-5.5759504,-5.3262730000000005,-5.1467512,-5.055225,-4.941927300000001,-4.8196446,-4.6946867999999995,-4.569247000000001,-4.4392027,-4.300992600000001,-4.155231,-4.002277500000001,-3.8423772000000005,-3.6758542,-3.5034563000000003,-3.3271924999999998,-3.1528397999999997,-3.0
-8.0,-7.667103,-7.331173,-6.9882744,-6.6327359999999995,-6.2556026,-5.842417000000001,-5.515476,-5.2651580000000004,-5.0952967000000005,-5.024938,-4.926554,-4.813322,-4.693719199999999,-4.571436500000001,-4.4432177,-4.3059902999999995,-4.1606559999999995,-4.007739000000001,-3.8475865000000002,-3.680578,-3.5074817,-3.3302891,-3.1546921999999995,-3.0
-8.0,-7.6686156,-7.334168,-6.9926756,-6.6384187,-6.262390999999999,-5.850081000000001,-5.523905,-5.274244,-5.104953,-5.0351325,-4.937067000000001,-4.82395,-4.7042782999999995,-4.581764000000001,-4.4531707,-4.315442699999999,-4.169494,-4.0158607,-3.8548849000000005,-3.6869377,-3.5127582000000004,-3.3342783,-3.1570551000000004,-3.0
-8.0,-7.673335,-7.3443175,-7.009908,-6.6659475,-6.305775999999999,-5.915795000000001,-5.6017125,-5.3540410000000005,-5.1762145,-5.08622,-4.9737990000000005,-4.8517967,-4.726579,-4.600398600000001,-4.469192,-4.329446,-4.181818600000001,-4.02669,-3.8643035000000006,-3.6949513,-3.5192951000000003,-3.3391645,-3.1599288000000003,-3.0
-8.0,-7.680604,-7.3600395,-7.0368603,-6.7099147,-6.379554,-6.052484500000001,-5.7626764999999995,-5.518680000000001,-5.322977,-5.171562,-5.030635,-4.893106,-4.758465999999999,-4.6260935000000005,-4.490533,-4.34753,-4.1973167,-4.040011,-3.8756869000000003,-3.7045033,-3.5270066000000004,-3.3448857999999997,-3.1632779,-3.0
